team,home_games,home_wins,home_ties,home_losses,home_goal_diff,home_points_avg,home_xg_for,home_xg_against,home_xg_diff,home_xg_diff_per90,away_games,away_wins,away_ties,away_losses,away_goal_diff,away_points_avg,away_xg_for,away_xg_against,away_xg_diff,away_xg_diff_per90,season
Liverpool,19,18,1,0,36,2.89,39.1,16.9,22.1,1.16,19,14,2,3,16,2.32,29.8,20.8,9.0,0.47,2019-2020
Manchester City,19,15,2,2,44,2.47,45.7,14.4,31.3,1.65,19,11,1,7,23,1.79,46.2,21.8,24.5,1.29,2019-2020
Manchester Utd,19,10,7,2,23,1.95,33.7,18.0,15.7,0.82,19,8,5,6,7,1.53,28.5,19.7,8.8,0.46,2019-2020
Chelsea,19,11,3,5,14,1.89,40.4,11.9,28.5,1.5,19,9,3,7,1,1.58,28.8,26.7,2.1,0.11,2019-2020
Leicester City,19,11,4,4,18,1.95,28.4,21.9,6.5,0.34,19,7,4,8,8,1.32,33.8,23.6,10.2,0.54,2019-2020
Tottenham,19,12,3,4,19,2.05,25.6,22.9,2.7,0.14,19,4,8,7,-5,1.05,22.3,31.3,-9.0,-0.47,2019-2020
Wolves,19,8,7,4,8,1.63,29.5,18.1,11.5,0.6,19,7,7,5,3,1.47,24.6,19.9,4.7,0.24,2019-2020
Arsenal,19,10,6,3,12,1.89,26.3,29.0,-2.7,-0.14,19,4,8,7,-4,1.05,20.7,26.3,-5.6,-0.3,2019-2020
Sheffield Utd,19,10,3,6,9,1.74,26.9,21.3,5.6,0.29,19,4,9,6,-9,1.11,16.2,29.7,-13.5,-0.71,2019-2020
Burnley,19,8,4,7,1,1.47,30.5,23.9,6.5,0.34,19,7,5,7,-8,1.37,16.9,25.8,-8.9,-0.47,2019-2020
Southampton,19,6,3,10,-14,1.11,25.6,29.2,-3.6,-0.19,19,9,4,6,5,1.63,30.5,23.6,6.9,0.36,2019-2020
Everton,19,8,7,4,3,1.63,27.1,24.2,2.9,0.16,19,5,3,11,-15,0.95,23.7,24.1,-0.4,-0.02,2019-2020
Newcastle Utd,19,6,8,5,-1,1.37,18.9,30.9,-12.0,-0.63,19,5,3,11,-19,0.95,16.7,34.7,-18.1,-0.95,2019-2020
Crystal Palace,19,6,5,8,-5,1.21,19.0,22.2,-3.2,-0.17,19,5,5,9,-14,1.05,16.8,34.9,-18.0,-0.95,2019-2020
Brighton,19,5,7,7,-7,1.16,23.5,25.7,-2.2,-0.12,19,4,7,8,-8,1.0,21.9,29.2,-7.3,-0.39,2019-2020
West Ham,19,6,4,9,-3,1.16,24.7,29.7,-5.0,-0.26,19,4,5,10,-10,0.89,23.9,34.1,-10.2,-0.54,2019-2020
Aston Villa,19,7,3,9,-8,1.26,23.9,32.1,-8.2,-0.43,19,2,5,12,-18,0.58,20.4,35.6,-15.3,-0.8,2019-2020
Bournemouth,19,5,6,8,-8,1.11,24.2,28.2,-4.0,-0.21,19,4,1,14,-17,0.68,20.6,34.1,-13.4,-0.71,2019-2020
Watford,19,6,6,7,-5,1.26,29.1,26.9,2.2,0.12,19,2,4,13,-23,0.53,19.7,31.2,-11.5,-0.61,2019-2020
Norwich City,19,4,3,12,-18,0.79,18.2,33.3,-15.2,-0.8,19,1,3,15,-31,0.32,18.8,33.1,-14.3,-0.75,2019-2020
Manchester City,19,13,2,4,26,2.16,37.2,14.9,22.3,1.18,19,14,3,2,25,2.37,31.0,15.3,15.7,0.83,2020-2021
Manchester Utd,19,9,4,6,10,1.63,31.2,22.3,8.9,0.47,19,12,7,0,19,2.26,28.9,19.1,9.7,0.51,2020-2021
Liverpool,19,10,3,6,9,1.74,31.5,21.1,10.4,0.55,19,10,6,3,17,1.89,36.0,21.8,14.1,0.74,2020-2021
